Date,Closing Price (USD),Open,High,Low,Change %
"Feb 21, 2020","1,643.70","1,619.69","1,649.15","1,618.94",1.48%
"Feb 20, 2020","1,619.70","1,611.71","1,623.79","1,603.98",0.50%
"Feb 19, 2020","1,611.64","1,601.85","1,613.04","1,599.53",0.61%
"Feb 18, 2020","1,601.92","1,583.44","1,605.45","1,583.09",1.32%
"Feb 17, 2020","1,581.10","1,584.70","1,584.81","1,578.60",-0.23%
"Feb 14, 2020","1,584.70","1,576.30","1,585.05","1,573.12",0.53%
"Feb 13, 2020","1,576.39","1,565.62","1,578.24","1,565.53",0.69%
"Feb 12, 2020","1,565.63","1,567.73","1,570.59","1,561.80",-0.13%
"Feb 11, 2020","1,567.71","1,572.09","1,574.17","1,562.29",-0.29%
"Feb 10, 2020","1,572.30","1,570.29","1,577.23","1,568.01",0.13%
"Feb 07, 2020","1,570.29","1,566.86","1,574.18","1,562.39",0.22%
"Feb 06, 2020","1,566.85","1,556.95","1,568.55","1,552.46",0.65%
"Feb 05, 2020","1,556.70","1,552.56","1,562.50","1,547.40",0.27%
"Feb 04, 2020","1,552.56","1,576.40","1,579.57","1,549.14",-1.52%
"Feb 03, 2020","1,576.45","1,590.20","1,591.84","1,571.29",-0.86%
"Jan 31, 2020","1,590.20","1,574.18","1,590.21","1,570.84",1.02%
"Jan 30, 2020","1,574.21","1,577.09","1,586.16","1,572.65",-0.18%
"Jan 29, 2020","1,577.12","1,566.19","1,578.04","1,563.21",0.69%
"Jan 28, 2020","1,566.24","1,581.95","1,583.27","1,565.65",-0.99%
"Jan 27, 2020","1,581.94","1,580.10","1,586.81","1,575.81",0.72%
"Jan 24, 2020","1,570.65","1,563.30","1,576.01","1,556.42",0.47%
"Jan 23, 2020","1,563.32","1,558.93","1,568.17","1,551.68",0.28%
"Jan 22, 2020","1,558.92","1,558.03","1,559.63","1,550.08",0.06%
"Jan 21, 2020","1,558.02","1,560.94","1,568.75","1,546.41",-0.23%
"Jan 20, 2020","1,561.58","1,558.65","1,563.00","1,556.39",0.32%
"Jan 17, 2020","1,556.61","1,552.90","1,561.45","1,549.36",0.25%
"Jan 16, 2020","1,552.79","1,556.18","1,558.19","1,548.05",-0.22%
"Jan 15, 2020","1,556.19","1,546.40","1,558.44","1,546.11",0.63%
"Jan 14, 2020","1,546.37","1,548.31","1,548.95","1,536.12",-0.12%
"Jan 13, 2020","1,548.30","1,562.29","1,562.30","1,546.77",-0.89%
"Jan 10, 2020","1,562.28","1,552.40","1,563.27","1,545.52",0.64%
"Jan 09, 2020","1,552.37","1,555.76","1,561.67","1,540.18",-0.22%
"Jan 08, 2020","1,555.81","1,573.99","1,611.15","1,552.23",-1.15%
"Jan 07, 2020","1,573.99","1,565.93","1,577.53","1,555.29",0.51%
"Jan 06, 2020","1,565.96","1,561.15","1,583.44","1,560.90",0.92%
"Jan 03, 2020","1,551.65","1,528.95","1,553.70","1,528.00",1.49%
"Jan 02, 2020","1,528.94","1,517.24","1,531.55","1,517.22",0.77%
"Jan 01, 2020","1,517.30","1,517.24","1,517.48","1,517.19",-0.01%
"Dec 31, 2019","1,517.40","1,515.22","1,525.45","1,514.66",0.14%
"Dec 30, 2019","1,515.22","1,511.80","1,516.54","1,510.43",0.30%
"Dec 27, 2019","1,510.67","1,511.55","1,515.47","1,507.05",-0.06%
"Dec 26, 2019","1,511.55","1,499.42","1,512.77","1,497.66",0.80%
"Dec 25, 2019","1,499.55","1,499.55","1,499.55","1,499.55",0.00%
"Dec 24, 2019","1,499.56","1,485.57","1,500.77","1,484.41",0.95%
"Dec 23, 2019","1,485.52","1,478.20","1,486.29","1,477.51",0.50%
"Dec 20, 2019","1,478.20","1,479.14","1,481.26","1,475.70",-0.06%
"Dec 19, 2019","1,479.15","1,475.44","1,481.97","1,473.01",0.25%
"Dec 18, 2019","1,475.44","1,476.45","1,479.67","1,470.32",-0.07%
"Dec 17, 2019","1,476.45","1,476.25","1,480.78","1,474.23",0.01%
"Dec 16, 2019","1,476.25","1,475.60","1,480.03","1,472.99",0.03%
"Dec 13, 2019","1,475.81","1,469.47","1,478.22","1,462.48",0.43%
"Dec 12, 2019","1,469.43","1,474.85","1,486.95","1,464.78",-0.37%
"Dec 11, 2019","1,474.85","1,464.19","1,479.04","1,462.59",0.73%
"Dec 10, 2019","1,464.21","1,461.93","1,469.36","1,459.80",0.15%
"Dec 09, 2019","1,461.99","1,459.49","1,465.80","1,458.76",0.15%
"Dec 06, 2019","1,459.76","1,475.70","1,477.45","1,458.61",-1.08%
"Dec 05, 2019","1,475.70","1,474.34","1,480.72","1,472.90",0.09%
"Dec 04, 2019","1,474.35","1,477.34","1,484.55","1,471.39",-0.20%
"Dec 03, 2019","1,477.34","1,462.50","1,482.22","1,459.39",1.02%
"Dec 02, 2019","1,462.44","1,467.03","1,467.03","1,453.91",-0.16%
"Nov 29, 2019","1,464.80","1,455.90","1,466.81","1,452.93",0.44%
"Nov 28, 2019","1,458.34","1,456.77","1,458.57","1,454.37",0.27%
"Nov 27, 2019","1,454.35","1,461.65","1,462.11","1,452.45",-0.50%
"Nov 26, 2019","1,461.60","1,454.98","1,462.97","1,450.63",0.46%
"Nov 25, 2019","1,454.97","1,462.29","1,462.41","1,453.89",-0.50%
"Nov 22, 2019","1,462.29","1,464.40","1,473.30","1,461.23",-0.14%
"Nov 21, 2019","1,464.40","1,471.25","1,475.98","1,462.60",-0.47%
"Nov 20, 2019","1,471.25","1,472.39","1,479.15","1,465.88",-0.08%
"Nov 19, 2019","1,472.38","1,470.85","1,475.72","1,464.60",0.10%
"Nov 18, 2019","1,470.85","1,467.66","1,474.30","1,456.26",0.24%
"Nov 15, 2019","1,467.37","1,471.20","1,471.49","1,462.28",-0.26%
"Nov 14, 2019","1,471.20","1,463.18","1,474.62","1,460.93",0.55%
"Nov 13, 2019","1,463.19","1,457.19","1,467.36","1,455.96",0.41%
"Nov 12, 2019","1,457.19","1,455.79","1,460.55","1,445.61",0.09%
"Nov 11, 2019","1,455.90","1,458.96","1,466.77","1,448.28",-0.19%
"Nov 08, 2019","1,458.66","1,468.01","1,473.33","1,456.28",-0.64%
"Nov 07, 2019","1,468.07","1,490.44","1,492.48","1,461.24",-1.50%
"Nov 06, 2019","1,490.46","1,484.10","1,494.46","1,482.45",0.43%
"Nov 05, 2019","1,484.10","1,509.64","1,510.10","1,479.65",-1.69%
"Nov 04, 2019","1,509.63","1,513.80","1,514.97","1,504.33",-0.29%
"Nov 01, 2019","1,513.95","1,513.32","1,515.81","1,503.31",0.04%
"Oct 31, 2019","1,513.35","1,496.40","1,514.53","1,493.72",1.20%
"Oct 30, 2019","1,495.40","1,487.60","1,496.91","1,481.21",0.52%
"Oct 29, 2019","1,487.60","1,492.69","1,495.16","1,483.72",-0.34%
"Oct 28, 2019","1,492.69","1,504.34","1,508.58","1,489.86",-0.80%
"Oct 25, 2019","1,504.73","1,504.75","1,518.07","1,500.56",0.07%
"Oct 24, 2019","1,503.65","1,492.15","1,504.27","1,488.02",0.77%
"Oct 23, 2019","1,492.10","1,488.35","1,496.50","1,487.62",0.27%
"Oct 22, 2019","1,488.05","1,484.52","1,489.29","1,480.87",0.24%
"Oct 21, 2019","1,484.50","1,492.02","1,495.48","1,481.91",-0.38%
"Oct 18, 2019","1,490.10","1,492.17","1,494.26","1,484.82",-0.12%
"Oct 17, 2019","1,491.89","1,490.55","1,497.50","1,483.45",0.14%
"Oct 16, 2019","1,489.77","1,481.13","1,491.65","1,477.06",0.58%
"Oct 15, 2019","1,481.17","1,493.20","1,498.17","1,477.53",-0.79%
"Oct 14, 2019","1,492.90","1,488.90","1,497.38","1,482.82",0.20%
"Oct 11, 2019","1,489.85","1,494.44","1,503.45","1,474.28",-0.30%
"Oct 10, 2019","1,494.30","1,505.60","1,517.08","1,491.42",-0.76%
"Oct 09, 2019","1,505.70","1,506.05","1,511.60","1,499.70",0.01%
"Oct 08, 2019","1,505.51","1,493.55","1,508.71","1,487.45",0.80%
"Oct 07, 2019","1,493.60","1,504.76","1,509.64","1,489.94",-0.73%
"Oct 04, 2019","1,504.60","1,505.19","1,511.17","1,497.15",-0.03%
"Oct 03, 2019","1,505.00","1,499.55","1,518.81","1,495.99",0.37%
"Oct 02, 2019","1,499.51","1,479.19","1,505.11","1,474.42",1.39%
"Oct 01, 2019","1,478.98","1,472.30","1,487.37","1,459.00",0.46%
"Sep 30, 2019","1,472.25","1,497.07","1,500.50","1,464.42",-1.65%
"Sep 27, 2019","1,496.94","1,506.00","1,507.70","1,487.04",-0.59%
"Sep 26, 2019","1,505.80","1,503.94","1,512.70","1,501.97",0.11%
"Sep 25, 2019","1,504.15","1,532.00","1,535.42","1,501.31",-1.84%
"Sep 24, 2019","1,532.30","1,522.40","1,535.85","1,515.80",0.67%
"Sep 23, 2019","1,522.11","1,516.66","1,527.25","1,511.50",0.33%
"Sep 20, 2019","1,517.15","1,499.40","1,517.24","1,497.90",1.20%
"Sep 19, 2019","1,499.20","1,494.00","1,504.35","1,488.90",0.35%
"Sep 18, 2019","1,493.90","1,501.55","1,511.32","1,484.36",-0.61%
"Sep 17, 2019","1,503.10","1,498.85","1,507.48","1,493.36",0.29%
"Sep 16, 2019","1,498.80","1,503.34","1,512.20","1,495.75",0.68%
"Sep 13, 2019","1,488.70","1,498.50","1,509.25","1,485.73",-0.68%
"Sep 12, 2019","1,498.95","1,497.50","1,523.96","1,488.80",0.09%
"Sep 11, 2019","1,497.60","1,486.45","1,498.56","1,485.00",0.75%
"Sep 10, 2019","1,486.40","1,499.00","1,501.45","1,484.27",-0.84%
"Sep 09, 2019","1,498.95","1,507.10","1,515.55","1,497.72",-0.53%
"Sep 06, 2019","1,506.95","1,519.20","1,527.90","1,502.89",-0.82%
"Sep 05, 2019","1,519.35","1,552.50","1,553.38","1,509.39",-2.14%
"Sep 04, 2019","1,552.60","1,547.10","1,557.38","1,533.81",0.36%
"Sep 03, 2019","1,547.00","1,529.60","1,549.90","1,521.51",1.07%
"Sep 02, 2019","1,530.59","1,520.10","1,533.81","1,519.15",0.68%
"Aug 30, 2019","1,520.25","1,527.60","1,533.45","1,517.43",-0.49%
"Aug 29, 2019","1,527.70","1,539.20","1,550.72","1,519.50",-0.74%
"Aug 28, 2019","1,539.10","1,541.80","1,547.03","1,531.55",-0.23%
"Aug 27, 2019","1,542.65","1,526.30","1,544.78","1,524.85",1.07%
"Aug 26, 2019","1,526.35","1,539.30","1,555.13","1,524.55",-0.03%
"Aug 23, 2019","1,526.85","1,499.00","1,530.11","1,493.05",1.87%
"Aug 22, 2019","1,498.80","1,502.20","1,504.68","1,491.85",-0.23%
"Aug 21, 2019","1,502.30","1,507.70","1,508.40","1,496.15",-0.32%
"Aug 20, 2019","1,507.10","1,495.60","1,508.60","1,492.85",0.79%
"Aug 19, 2019","1,495.30","1,511.15","1,513.00","1,492.65",-1.24%
"Aug 16, 2019","1,514.15","1,523.90","1,527.75","1,504.20",-0.59%
"Aug 15, 2019","1,523.20","1,517.05","1,527.00","1,508.22",0.45%
"Aug 14, 2019","1,516.33","1,501.38","1,524.30","1,494.34",1.00%
"Aug 13, 2019","1,501.39","1,510.74","1,534.75","1,481.38",-0.66%
"Aug 12, 2019","1,511.41","1,497.65","1,517.95","1,487.91",0.95%
"Aug 09, 2019","1,497.24","1,501.20","1,508.40","1,494.69",-0.25%
"Aug 08, 2019","1,500.95","1,501.50","1,509.72","1,490.08",-0.02%
"Aug 07, 2019","1,501.20","1,474.25","1,510.28","1,472.28",1.83%
"Aug 06, 2019","1,474.27","1,464.00","1,475.04","1,456.61",0.72%
"Aug 05, 2019","1,463.80","1,440.65","1,470.05","1,437.03",1.60%
"Aug 02, 2019","1,440.70","1,445.80","1,448.23","1,430.20",-0.32%
"Aug 01, 2019","1,445.31","1,411.34","1,445.98","1,400.65",2.23%
"Jul 31, 2019","1,413.80","1,431.05","1,433.07","1,411.42",-1.19%
"Jul 30, 2019","1,430.85","1,426.84","1,433.12","1,422.12",0.27%
"Jul 29, 2019","1,426.94","1,419.49","1,428.46","1,416.98",0.58%
"Jul 26, 2019","1,418.69","1,414.40","1,424.83","1,413.72",0.29%
"Jul 25, 2019","1,414.53","1,426.30","1,433.84","1,411.08",-0.80%
"Jul 24, 2019","1,425.90","1,417.55","1,429.55","1,416.43",0.60%
"Jul 23, 2019","1,417.39","1,425.15","1,429.25","1,414.29",-0.54%
"Jul 22, 2019","1,425.12","1,425.15","1,429.77","1,422.34",-0.01%
"Jul 19, 2019","1,425.30","1,446.40","1,452.96","1,420.40",-1.45%
"Jul 18, 2019","1,446.30","1,426.80","1,448.35","1,414.68",1.37%
"Jul 17, 2019","1,426.80","1,406.59","1,427.00","1,400.18",1.46%
"Jul 16, 2019","1,406.33","1,415.05","1,418.34","1,401.23",-0.55%
"Jul 15, 2019","1,414.08","1,415.75","1,419.75","1,407.69",-0.12%
"Jul 12, 2019","1,415.74","1,403.90","1,417.09","1,403.12",0.84%
"Jul 11, 2019","1,404.00","1,419.20","1,426.21","1,401.58",-1.06%
"Jul 10, 2019","1,419.00","1,397.80","1,419.21","1,389.88",1.51%
"Jul 09, 2019","1,397.90","1,395.60","1,400.13","1,386.35",0.17%
"Jul 08, 2019","1,395.50","1,400.05","1,408.03","1,391.79",-0.32%
"Jul 05, 2019","1,399.95","1,415.80","1,424.24","1,386.97",-1.11%
"Jul 04, 2019","1,415.65","1,419.59","1,422.02","1,410.43",-0.23%
"Jul 03, 2019","1,418.94","1,419.95","1,436.29","1,412.52",0.03%
"Jul 02, 2019","1,418.44","1,383.55","1,419.80","1,383.55",2.47%
"Jul 01, 2019","1,384.31","1,392.83","1,397.69","1,381.84",-1.79%
"Jun 28, 2019","1,409.50","1,409.56","1,424.67","1,406.64",-0.01%
"Jun 27, 2019","1,409.68","1,409.55","1,411.94","1,400.23",0.07%
"Jun 26, 2019","1,408.75","1,423.90","1,424.03","1,402.37",-1.02%
"Jun 25, 2019","1,423.25","1,419.17","1,438.99","1,412.30",0.26%
"Jun 24, 2019","1,419.55","1,401.35","1,421.20","1,400.33",1.47%
"Jun 21, 2019","1,399.05","1,388.22","1,411.08","1,382.44",0.78%
"Jun 20, 2019","1,388.18","1,360.34","1,393.30","1,357.66",2.05%
"Jun 19, 2019","1,360.27","1,346.55","1,362.50","1,341.19",1.02%
"Jun 18, 2019","1,346.48","1,340.30","1,354.68","1,338.54",0.52%
"Jun 17, 2019","1,339.54","1,342.05","1,343.53","1,332.83",-0.15%
"Jun 14, 2019","1,341.58","1,341.70","1,358.40","1,337.88",-0.06%
"Jun 13, 2019","1,342.35","1,334.00","1,343.41","1,332.22",0.66%
"Jun 12, 2019","1,333.55","1,327.05","1,338.58","1,326.04",0.50%
"Jun 11, 2019","1,326.91","1,328.40","1,330.22","1,319.74",-0.09%
"Jun 10, 2019","1,328.13","1,335.94","1,337.77","1,324.90",-0.94%
"Jun 07, 2019","1,340.70","1,335.45","1,348.45","1,330.08",0.39%
"Jun 06, 2019","1,335.55","1,331.99","1,340.09","1,327.26",0.40%
"Jun 05, 2019","1,330.18","1,325.50","1,344.24","1,324.53",0.37%
"Jun 04, 2019","1,325.28","1,325.05","1,329.41","1,319.90",0.01%
"Jun 03, 2019","1,325.17","1,307.40","1,328.34","1,306.62",1.50%
"May 31, 2019","1,305.65","1,288.35","1,307.11","1,288.00",1.30%
"May 30, 2019","1,288.85","1,279.74","1,289.24","1,274.82",0.72%
"May 29, 2019","1,279.60","1,279.56","1,285.79","1,278.88",0.01%
"May 28, 2019","1,279.49","1,285.55","1,286.75","1,276.01",-0.44%
"May 27, 2019","1,285.20","1,285.80","1,287.69","1,283.68",0.02%
"May 24, 2019","1,284.90","1,283.55","1,285.59","1,280.59",0.11%
"May 23, 2019","1,283.45","1,273.80","1,287.62","1,272.61",0.77%
"May 22, 2019","1,273.61","1,274.74","1,277.59","1,272.28",-0.11%
"May 21, 2019","1,274.97","1,278.10","1,278.16","1,269.34",-0.22%
"May 20, 2019","1,277.74","1,277.80","1,279.32","1,273.60",0.02%
"May 17, 2019","1,277.55","1,286.50","1,289.24","1,274.91",-0.71%
"May 16, 2019","1,286.65","1,296.90","1,299.06","1,284.06",-0.77%
"May 15, 2019","1,296.67","1,297.17","1,301.18","1,292.85",-0.03%
"May 14, 2019","1,297.03","1,300.24","1,303.47","1,293.52",-0.22%
"May 13, 2019","1,299.91","1,286.71","1,301.50","1,281.77",1.08%
"May 10, 2019","1,286.00","1,284.34","1,289.60","1,283.10",0.14%
"May 09, 2019","1,284.14","1,280.74","1,288.57","1,279.43",0.25%
"May 08, 2019","1,280.93","1,284.15","1,291.73","1,279.37",-0.33%
"May 07, 2019","1,285.15","1,281.10","1,286.37","1,278.04",0.38%
"May 06, 2019","1,280.32","1,281.19","1,285.90","1,276.85",0.09%
"May 03, 2019","1,279.19","1,270.74","1,282.84","1,268.90",0.68%
"May 02, 2019","1,270.54","1,276.94","1,278.18","1,266.18",-0.48%
"May 01, 2019","1,276.60","1,283.59","1,287.38","1,273.16",-0.54%
"Apr 30, 2019","1,283.60","1,279.98","1,286.58","1,279.69",0.30%
"Apr 29, 2019","1,279.80","1,286.55","1,287.00","1,277.97",-0.50%
"Apr 26, 2019","1,286.25","1,277.27","1,289.01","1,276.05",0.70%
"Apr 25, 2019","1,277.35","1,275.60","1,282.81","1,273.35",0.16%
"Apr 24, 2019","1,275.36","1,272.30","1,278.79","1,268.58",0.23%
"Apr 23, 2019","1,272.40","1,275.40","1,276.83","1,266.25",-0.20%
"Apr 22, 2019","1,274.93","1,275.83","1,280.14","1,273.66",-0.04%
"Apr 18, 2019","1,275.40","1,273.49","1,277.97","1,271.07",0.10%
"Apr 17, 2019","1,274.14","1,276.84","1,280.01","1,272.94",-0.19%
"Apr 16, 2019","1,276.57","1,287.90","1,288.85","1,272.94",-0.88%
"Apr 15, 2019","1,287.89","1,290.60","1,292.08","1,282.37",-0.19%
"Apr 12, 2019","1,290.40","1,292.30","1,296.10","1,290.09",-0.17%
"Apr 11, 2019","1,292.59","1,308.10","1,309.37","1,289.66",-1.18%
"Apr 10, 2019","1,308.05","1,304.09","1,310.96","1,301.06",0.30%
"Apr 09, 2019","1,304.14","1,297.65","1,306.50","1,296.57",0.52%
"Apr 08, 2019","1,297.42","1,291.80","1,303.97","1,291.39",0.44%
"Apr 05, 2019","1,291.70","1,292.44","1,293.69","1,284.44",-0.05%
"Apr 04, 2019","1,292.38","1,290.10","1,294.55","1,280.91",0.19%
"Apr 03, 2019","1,289.91","1,292.34","1,294.81","1,288.34",-0.25%
"Apr 02, 2019","1,293.15","1,287.55","1,293.15","1,285.17",0.43%
"Apr 01, 2019","1,287.67","1,291.48","1,297.23","1,286.64",-0.35%
"Mar 29, 2019","1,292.15","1,290.59","1,300.01","1,286.77",0.12%
"Mar 28, 2019","1,290.55","1,309.85","1,312.48","1,288.58",-1.47%
"Mar 27, 2019","1,309.86","1,315.61","1,319.60","1,308.03",-0.43%
"Mar 26, 2019","1,315.52","1,321.80","1,323.41","1,312.69",-0.48%
"Mar 25, 2019","1,321.90","1,313.35","1,324.57","1,310.97",0.65%
"Mar 22, 2019","1,313.38","1,309.55","1,315.20","1,306.81",0.30%
"Mar 21, 2019","1,309.45","1,313.05","1,320.62","1,303.40",-0.23%
"Mar 20, 2019","1,312.48","1,305.74","1,317.03","1,298.58",0.45%
"Mar 19, 2019","1,306.55","1,303.60","1,311.19","1,302.50",0.22%
"Mar 18, 2019","1,303.70","1,302.34","1,306.89","1,298.19",0.18%
"Mar 15, 2019","1,301.38","1,296.15","1,306.79","1,293.82",0.39%
"Mar 14, 2019","1,296.28","1,309.76","1,310.53","1,292.83",-0.99%
"Mar 13, 2019","1,309.28","1,302.16","1,311.56","1,300.61",0.56%
"Mar 12, 2019","1,302.01","1,293.84","1,302.40","1,292.08",0.60%
"Mar 11, 2019","1,294.25","1,298.85","1,299.44","1,290.34",-0.32%
"Mar 08, 2019","1,298.40","1,285.78","1,300.85","1,285.18",0.98%
"Mar 07, 2019","1,285.74","1,286.71","1,289.10","1,281.27",-0.08%
"Mar 06, 2019","1,286.76","1,287.48","1,291.11","1,283.51",-0.05%
"Mar 05, 2019","1,287.43","1,286.67","1,289.92","1,281.10",0.06%
"Mar 04, 2019","1,286.67","1,293.61","1,297.35","1,282.88",-0.53%
"Mar 01, 2019","1,293.56","1,312.94","1,315.46","1,290.24",-1.48%
"Feb 28, 2019","1,313.05","1,319.87","1,327.44","1,312.41",-0.52%
"Feb 27, 2019","1,319.88","1,328.92","1,329.96","1,316.78",-0.68%
"Feb 26, 2019","1,328.96","1,327.11","1,330.40","1,323.44",0.14%
"Feb 25, 2019","1,327.13","1,328.89","1,332.80","1,325.15",-0.05%
"Feb 22, 2019","1,327.80","1,323.51","1,333.41","1,321.39",0.32%
"Feb 21, 2019","1,323.49","1,338.59","1,341.71","1,321.99",-1.12%
"Feb 20, 2019","1,338.49","1,341.24","1,347.11","1,336.79",-0.20%
"Feb 19, 2019","1,341.17","1,326.25","1,342.11","1,322.63",1.08%
"Feb 18, 2019","1,326.90","1,321.41","1,328.05","1,320.60",0.42%
"Feb 15, 2019","1,321.41","1,312.64","1,322.76","1,311.17",0.68%
"Feb 14, 2019","1,312.55","1,306.17","1,314.70","1,302.88",0.49%
"Feb 13, 2019","1,306.19","1,310.89","1,318.36","1,304.80",-0.36%
"Feb 12, 2019","1,310.90","1,308.22","1,315.10","1,306.44",0.20%
"Feb 11, 2019","1,308.32","1,314.55","1,315.01","1,303.69",-0.44%
"Feb 08, 2019","1,314.06","1,310.13","1,316.05","1,307.53",0.30%
"Feb 07, 2019","1,310.09","1,306.19","1,312.27","1,302.53",0.30%
"Feb 06, 2019","1,306.22","1,315.02","1,316.16","1,305.70",-0.67%
"Feb 05, 2019","1,315.02","1,311.73","1,317.13","1,310.59",0.25%
"Feb 04, 2019","1,311.75","1,318.13","1,319.11","1,308.50",-0.47%
"Feb 01, 2019","1,318.00","1,320.93","1,323.82","1,315.94",-0.22%
"Jan 31, 2019","1,320.94","1,319.87","1,326.65","1,317.39",0.08%
"Jan 30, 2019","1,319.91","1,311.95","1,323.67","1,308.81",0.61%
"Jan 29, 2019","1,311.93","1,303.53","1,312.34","1,302.45",0.64%
"Jan 28, 2019","1,303.53","1,303.82","1,304.79","1,297.54",0.02%
"Jan 25, 2019","1,303.22","1,280.93","1,303.78","1,279.71",1.74%
"Jan 24, 2019","1,280.94","1,282.42","1,285.19","1,276.79",-0.11%
"Jan 23, 2019","1,282.40","1,285.04","1,286.90","1,278.40",-0.21%
"Jan 22, 2019","1,285.04","1,279.94","1,285.84","1,277.21",0.37%
"Jan 21, 2019","1,280.28","1,281.64","1,283.95","1,276.58",-0.09%
"Jan 18, 2019","1,281.49","1,291.88","1,292.73","1,280.49",-0.81%
"Jan 17, 2019","1,291.90","1,293.55","1,295.62","1,288.67",-0.13%
"Jan 16, 2019","1,293.52","1,289.11","1,295.22","1,287.77",0.33%
"Jan 15, 2019","1,289.31","1,291.73","1,295.03","1,286.60",-0.19%
"Jan 14, 2019","1,291.73","1,287.70","1,296.21","1,287.45",0.29%
"Jan 11, 2019","1,288.00","1,286.30","1,295.55","1,286.01",0.13%
"Jan 10, 2019","1,286.38","1,293.13","1,297.47","1,285.99",-0.52%
"Jan 09, 2019","1,293.13","1,285.36","1,294.25","1,279.90",0.61%
"Jan 08, 2019","1,285.35","1,288.68","1,290.44","1,279.10",-0.26%
"Jan 07, 2019","1,288.67","1,286.01","1,295.42","1,282.53",0.29%
"Jan 04, 2019","1,284.92","1,294.04","1,298.68","1,276.66",-0.70%
"Jan 03, 2019","1,293.99","1,284.80","1,295.11","1,284.17",0.72%
"Jan 02, 2019","1,284.77","1,282.30","1,288.93","1,278.59",0.17%
"Jan 01, 2019","1,282.61","1,282.78","1,283.05","1,282.52",-0.02%
"Dec 31, 2018","1,282.82","1,280.20","1,284.34","1,277.31",0.16%
"Dec 28, 2018","1,280.75","1,275.23","1,282.34","1,274.19",0.43%
"Dec 27, 2018","1,275.22","1,266.89","1,279.30","1,266.42",0.65%
"Dec 26, 2018","1,266.98","1,270.75","1,279.33","1,264.56",-0.17%
"Dec 24, 2018","1,269.13","1,258.65","1,270.13","1,257.96",1.04%
"Dec 21, 2018","1,256.01","1,260.10","1,263.12","1,253.68",-0.33%
"Dec 20, 2018","1,260.15","1,243.40","1,266.70","1,242.70",1.35%
"Dec 19, 2018","1,243.40","1,249.37","1,258.44","1,241.49",-0.48%
"Dec 18, 2018","1,249.38","1,246.02","1,250.63","1,244.79",0.28%
"Dec 17, 2018","1,245.91","1,237.60","1,248.46","1,235.69",0.62%
"Dec 14, 2018","1,238.21","1,242.43","1,243.30","1,232.70",-0.34%
"Dec 13, 2018","1,242.46","1,245.69","1,247.14","1,240.05",-0.27%
"Dec 12, 2018","1,245.80","1,242.94","1,247.52","1,241.94",0.23%
"Dec 11, 2018","1,242.94","1,244.52","1,249.89","1,240.81",-0.13%
"Dec 10, 2018","1,244.58","1,250.76","1,250.85","1,241.47",-0.28%
"Dec 07, 2018","1,248.09","1,238.00","1,250.44","1,237.29",0.82%
"Dec 06, 2018","1,237.99","1,237.56","1,244.72","1,234.56",0.04%
"Dec 05, 2018","1,237.56","1,238.55","1,239.64","1,233.21",-0.08%
